horizon,timestamp,price_xgboost,price_seasonal_naive,price_forecast,renewable_share_forecast,price_score,renewable_score,charge_score
17,2026-09-22 01:00:00+00:00,105.13478,185.66,145.39739044189452,0.5742522,0.7475524316117548,0.12530121,0.4364268218420636
18,2026-09-22 02:00:00+00:00,109.89822,183.55,146.7241081237793,0.5744218,0.7437077873599127,0.12585126,0.4347795229977168
19,2026-09-22 03:00:00+00:00,114.52748,196.76,155.64374053955078,0.5835849,0.7178599269114693,0.15556267,0.4367112979751209
20,2026-09-22 04:00:00+00:00,113.98672,237.42,175.70335861206053,0.5888671,0.659729929573181,0.17269035,0.4162101382051124
21,2026-09-22 05:00:00+00:00,115.460335,262.08,188.770167388916,0.6230893,0.6218641259136651,0.2836562,0.45276016781046263
22,2026-09-22 06:00:00+00:00,114.67605,233.11,173.8930241394043,0.6663868,0.6649760283621272,0.42404884,0.5445124346808652
23,2026-09-22 07:00:00+00:00,113.86493,196.4,155.13246459960936,0.69288504,0.7193415338354143,0.5099698,0.614655652371885
24,2026-09-22 08:00:00+00:00,99.25136,145.96,122.60567901611329,0.7342873,0.8135996574226664,0.6442172,0.7289084252746725
25,2026-09-22 09:00:00+00:00,95.01074,78.87,86.94037109375,0.78853995,0.9169527844414411,0.820132,0.8685424007885306
26,2026-09-22 10:00:00+00:00,89.32125,44.47,66.89562545776367,0.7956017,0.9750396835167218,0.84303,0.9090348297039175
27,2026-09-22 11:00:00+00:00,87.06454,29.5,58.28226852416992,0.8023583,1.0,0.8649383,0.9324691593647003
28,2026-09-22 12:00:00+00:00,87.50604,46.2,66.85302124023437,0.75920415,0.9751631446435799,0.72501034,0.850086740044492
29,2026-09-22 13:00:00+00:00,89.787994,103.69,96.73899719238281,0.7420788,0.8885577219345933,0.6694811,0.7790194102932396
30,2026-09-22 14:00:00+00:00,97.96295,156.02,126.99147583007813,0.7047954,0.8008902251592758,0.54858935,0.6747397869761528
31,2026-09-22 15:00:00+00:00,100.86167,213.47,157.16583572387697,0.6862523,0.7134491056937533,0.488463,0.6009560600289979
32,2026-09-22 16:00:00+00:00,109.215836,251.51,180.36291778564453,0.6445497,0.6462271718746568,0.3532419,0.4997345312717629
33,2026-09-22 17:00:00+00:00,115.04635,303.37,209.20817428588867,0.6028572,0.5626376101232629,0.21805324,0.39034542336349987
34,2026-09-22 18:00:00+00:00,121.5746,253.9,187.73730010986327,0.58659893,0.6248572323609121,0.16533569,0.3950964586878184
35,2026-09-22 19:00:00+00:00,123.90531,222.32,173.11265579223632,0.5709884,0.6672374278453969,0.114718385,0.39097790644307845
36,2026-09-22 20:00:00+00:00,117.27874,199.46,158.36936996459963,0.562292,0.7099614300083611,0.086520076,0.3982407529031979
37,2026-09-22 21:00:00+00:00,116.3298,182.71,149.51990173339846,0.5509316,0.7356059643591903,0.049683813,0.3926448886824381
38,2026-09-22 22:00:00+00:00,113.13476,176.55,144.84237899780274,0.5376033,0.7491607779746393,0.006466775,0.3778137765879502
39,2026-09-22 23:00:00+00:00,107.03932,171.22,139.12966094970704,0.5474043,0.7657154443561137,0.03824655,0.4019809970110208
40,2026-09-23 00:00:00+00:00,102.86622,168.7,135.78310928344726,0.5556011,0.7754132879914678,0.06482488,0.42011908358046596
41,2026-09-23 01:00:00+00:00,103.876785,168.64,136.25839263916015,0.5686167,0.7740359825959886,0.10702803,0.4405320062275273
42,2026-09-23 02:00:00+00:00,111.74044,169.67,140.70522018432615,0.56027234,0.7611496917189666,0.07997136,0.42056052494950635
43,2026-09-23 03:00:00+00:00,114.46069,190.12,152.2903466796875,0.5740047,0.7275775982770685,0.124498755,0.4260381765084149
44,2026-09-23 04:00:00+00:00,115.22092,223.77,169.49545837402343,0.5864497,0.6777195654181423,0.16485174,0.4212856527103872
45,2026-09-23 05:00:00+00:00,119.992325,238.07,179.03116241455078,0.6079041,0.6500864146527147,0.2344179,0.4422521575478959
46,2026-09-23 06:00:00+00:00,121.36483,224.99,173.17741500854493,0.6583265,0.6670497645978694,0.39791328,0.532481520873535
47,2026-09-23 07:00:00+00:00,119.24448,191.6,155.4222381591797,0.69783884,0.718501810158441,0.52603257,0.622267188591336
48,2026-09-23 08:00:00+00:00,114.95867,172.91,143.9343357849121,0.7200131,0.751792161551215,0.5979328,0.6748624885514865
